"PAYMENTTOKENID","MERCHANTID","CURRENCYTYPE","AMOUNT","INVOICEID","TRANSACTIONID","DESCRIPTION","PAYMENTOPTION","PAYMENTOPTIONDESC","INITIALURL","ACCTYPE","AUTHRESULT","EXPIRYTIME","IPADDRESS","USERID","TRANSACTIONRESULT","AMOUNTDEDUCTED","TRANSACTIONTIME","ERRORMESSAGE","CALLBACKRESULT","CLOSESTATUS","ACCOUNTNO","ACCOUNTNOOFMERCHANTORBANK","TRANSCREFNUM","FEECURRENCY","FEEAMOUNT","CREDITCURRENCYTYPE","FEETYPE","EXCHANGERATE","COREREFNO","RESERVE1","RESERVE2","TXMERCHANTACCOUNT","TXDIRECTION","IBUSERID","FAILEDREASON","MINISTERY_TYPE","MINISTERY_STATUS","MINISTERY_RESPONSE","MINISTERY_TXTIME","REVERSETX_STATUS","REVERSETX_RESPONSE"
"ZidPuinR+mql+OpNgsbjNPgdUnk=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",200,"121","1815941970","",2,"","192.168.0.64",1,66,5,"192.168.0.102","name",66,0,02-SEP-15,"Not Checked","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"B5bfiCESdPiVUr82+UjMvbTTKlk=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",2000,"121","2032597210","",2,"","192.168.0.64",1,66,5,"192.168.0.102","name",66,0,01-SEP-15,"Not Checked","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"C0flv2cMcCkZ9TaciR3ITF/K6TA=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,11-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"YWQDhKwEaL9Nti+Bj9pqzQm7gRg=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,13-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"9h+xRbkBBQbWzChCCP3W2zNbMII=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000136","TX2015092312b5969e35ce22","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"tFC8rRgR/rvUXwI59P3b2v7vKfo=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000136","TX20150923da713c9ca2b766","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"MOELdAFQbICIBKNk/qpaO06QAdA=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000136","TX201509239d92495e2cb6e4","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"Du3kGDcpIQlsuITdSxjnz+1iTcQ=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000136","TX20150923c01bb50c19fb96","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"a6DBcEbpeQTr1FPswkqUAd4TDyA=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000136","TX201509232bf3eb834f88cf","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"QksuUw/XHMmQlbnWmen7aXJb4f4=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX2015092331bc58fc83b038","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"Ve1irpymF8mDDDF7wrp70jsK3Bs=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923faccb4afa085b5","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"quylmwSIg53xdEqJd8J8iYi0IqI=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923eb7b7e8cf2b568","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"NSDoqM7oASPrnVwKG4rbPdDWtZk=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX201509234e77ce113e1125","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"rpemzztxM6ktgHM1M1Dp5P5hMdY=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923eb03bbcc319053","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"GCuzdW20EgO7q+s0/sT2CBvo3uc=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923eea8c251d998d9","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"22AfO0rhN9A8WIHm6mz5GTPtCaw=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,23-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"qAaNy3yH9RBolnHLrF52q/+87LY=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923eac9626c04b743","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"FWI2Zpx9dKhQCksEuu5hAJ2iUIk=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX201509237eb17e28246c82","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"vCow4pMt4p3uIRXQ8hNRkCbunM4=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX201509230a6b24a6df7896","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"7PpCjcqeCXZxxWeOiNH16mPXQvM=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923c1f36ec88b2644","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"+9c32dHfcTOjYfR40EgBdpGxiaA=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX2015092371660b4a79580b","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"lcWPgMcW8DbcKaH2rL0XgiKmcIQ=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923a7341708f6d348","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"AJoBLhMFdzbXkdzbzevTdHWRj28=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX201509232b762f04b315b4","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"KKC17IS31znlDWUFonlwl2tzm3s=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923c338ea6b026c01","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"H1YkUCjgK5x0NUxPE8/au+a/OyY=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923ad4f5fcc3d60dd","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"kO4RJ1Ag/+/rcvE9OW4Xbox4YTE=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX201509239695a91317bb3d","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"JPDw5HrY+xD3GWASlncGZsYGqzI=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923ec17219aa618d1","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"8NkddKeHoFLPDsg5hPzxHkSkAgw=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923ddf2383071d076","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"vPaz4jutoCatIT+oGA0UCtkWz0Q=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX201509236280ac72afac1f","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"72QerY/fkJEl1GoU01oL+2lVxy0=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923a3ed1e551f9cba","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"c+lDEfMrqQAal89UW13Zud2Gd/g=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX20150923375bbe8c8c2984","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"IVZzeBUgXtR5p5HRJSmlfjFRHWY=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX201509236b0ea7e6016d5a","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"v+io/fjmi5ES+8z7PWJwvbwg3Yg=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",200,"INV230915000140","TX201509234f6bc9afb62d41","Online Payment",0,"Online Payment","",1,66,5,"10.0.0.34","",66,0,23-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"DoRl7/1auTjTMWhPTPvPD8N7qFc=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,11-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"538i7ZiQRPZT56eB3t9dY/halx0=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",1,"124245","6953518184","",3,"","192.168.0.64",1,66,5,"10.200.2.28","SeshlBUSD",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"OTNOciQD7g8EpYFZ0spdcGJrCgA=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",1000,"2454","7160620986","",2,"","192.168.0.64",1,66,5,"10.200.2.28","00010157952313",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"Gitv+Pb+cqtESR4hnh7Z00coGmo=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",1,"454545","612118161","",3,"","192.168.0.64",1,66,5,"10.200.2.28","SeshIBUSD",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"RFXYX7RSIm8zOCBmHHFGIrxPMlc=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",1000,"4546252","8209068396","",3,"","192.168.0.64",1,66,5,"10.200.2.28","SeshIBUSD",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"BdwzayF9XtWunGLkl53lbav1Nqk=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",1000,"55454","7895468113","",3,"","192.168.0.64",1,66,5,"10.200.2.28","SeshIBUSD",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"gJ3hhRQSH8ULeALapVwDQSHzW7s=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",1000,"689566","1410488023","",3,"","192.168.0.64",1,66,5,"10.200.2.28","SeshIBUSD",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"RNDPLk0GnI2DXVorSZfCnPeEkNM=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,14-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"oMX9TLKLwK+ZbeCKVlWrUPTUFrA=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",1000,"454546","6740579187","",3,"","192.168.0.64",1,66,5,"10.200.2.28","SeshIBUSD",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"0od6ZxGuZ1SHSNQVqu/o/UsfGPw=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",1000,"565333","7555125529","",3,"","192.168.0.64",1,66,5,"10.200.2.28","SeshIBUSD",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"Z4tYh30rJbbCnhaK8hoe7+JGu98=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",1,"36565","2624004828","",3,"","192.168.0.64",1,66,5,"10.200.2.28","SeshIBUSD",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"X/c+3u2Bk1A9u8byCdcOdo0F7So=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",10,"112233","717645207","",2,"","192.168.0.64",1,66,5,"10.200.2.38","00010157952313",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"BLs7dCaUNJNr+8D8aS+vn6IUHIU=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",10,"112233","4775927587","",2,"","192.168.0.64",1,66,5,"10.200.2.38","00010157952313",66,0,14-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"6mGTLtalXhCpgAQ68Bcxym184ng=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",10,"1122","1249500830","My testing payment first",2,"My testing payment first","",1,0,0,"10.200.2.38","32000177428517",0,0,14-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",2,"00012021604414","00012028078011","","",,"",,,"","","","",,"","",,,"",,,""
"o1VX3q9aKkUOTeqW37QuOHl4mwo=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,15-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"vH+4xqJqLLPlwRmGgVNMTxQ9fBw=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",100,"11111","2672087435","",0,"","",1,66,5,"10.50.200.30","",66,0,15-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"GIgaX3RVuQN2AWCxO3x5MvoQtJI=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,15-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"wacZBil0ubJQiuhlV5ZKVLQRZOY=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,15-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"IdoFxrCsAki/I4217xyLDgThArc=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,15-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"QFBYHBdtzvWDsNy3QKDQdj/caGU=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,16-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"vNPkMjN8wWRKcFXwATstmQOoCG4=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,16-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"swftiIumPUMleiIx1cEqrTUTJn8=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,16-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"PDZO451xgKGhwOBAvLOhIutqhKk=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,17-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"MDiAN7gxPofU+NGsyES8XnSWBLs=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,17-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"CP94eX+eHTGAVD1HAuQo5yMAO1g=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",100,"1122111","5355248338","",2,"","192.168.0.64",1,66,5,"10.0.0.34","32009799348631",66,0,17-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"lSpjcMRY+VIKuyw46HRuhcYCjuk=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",100,"1122222","6133139718","test",2,"test","",1,0,0,"10.0.0.34","32000100064111",0,0,17-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",2,"00010021604422","00012028078011","","",,"",,,"","","","",,"","",,,"",,,""
"swak2W/1kUXq+MWGvrtwhmeaYJ0=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,17-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"8Obt8XERTokTzT+IxlX/77knyl4=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",130,"123456","4740969200","Testing MoC CO",0,"Testing MoC CO","",1,66,5,"10.0.0.34","",66,0,17-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"//I7UyVl9JIN4WNZnA94iagibNY=","bp0BxY4k+/unVRE7GVenksK4M9k=","KHR",10000,"IN-001","9063153778","",3,"","192.168.0.64",1,66,5,"10.0.0.34","VannaIBTHB",66,0,17-SEP-15,"Not Checked","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"9CFL/uaSAWXT2S9+uuFsOq864uM=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,18-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"+zqyTp87fhiPWBXK4bftImc+ro8=","bp0BxY4k+/unVRE7GVenksK4M9k=","",0,"","","",1,"","",1,,0,"","",,0,18-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"63ygKQfRlVEGoQvAOPdnUOo5hxk=","bp0BxY4k+/unVRE7GVenksK4M9k=","USD",100,"00001221","6032093869","test",1,"test","",1,0,0,"10.0.0.34","9116010001782222",0,0,18-SEP-15,"SUCCESS","https://10.6.6.131:8443/XPAYManager/addMerchantDetails.jsp",2,"00012021604414","00012028078011","","",,"",,,"","","","",,"","",,,"",,,""
